timestamp,est_time,market,side,type,entry_price,exit_price,qty,pnl,exit_reason,filter_reason
2026-03-11 15:29:04,03:29:04 PM,"Bitcoin Up or Down - March 11, 3:25PM-3:30PM ET",Up,phantom-no_leader,0.5,0.12,40,-15.2,phantom-lose,no_leader
2026-03-11 15:34:03,03:34:03 PM,"Bitcoin Up or Down - March 11, 3:30PM-3:35PM ET",Up,phantom-choppy,0.93,0.94,21,0.21,phantom-win,choppy
2026-03-11 15:39:55,03:39:55 PM,"Bitcoin Up or Down - March 11, 3:35PM-3:40PM ET",Up,real,0.89,1.0,22.0,2.42,resolved-win,
2026-03-11 15:44:43,03:44:43 PM,"Bitcoin Up or Down - March 11, 3:40PM-3:45PM ET",Down,real,0.71,0.37,28.0,-9.52,sl,
2026-03-11 15:49:40,03:49:40 PM,"Bitcoin Up or Down - March 11, 3:45PM-3:50PM ET",Down,real,0.79,0.94,25.0,3.75,tp,
2026-03-11 15:54:37,03:54:37 PM,"Bitcoin Up or Down - March 11, 3:50PM-3:55PM ET",Up,real,0.75,0.94,26.0,4.94,tp,
2026-03-11 15:59:07,03:59:07 PM,"Bitcoin Up or Down - March 11, 3:55PM-4:00PM ET",Down,real,0.87,0.94,22.0,1.54,tp,
2026-03-11 16:02:40,04:02:40 PM,"Bitcoin Up or Down - March 11, 4:00PM-4:05PM ET",Down,real,0.88,0.94,22.0,1.32,tp,
2026-03-11 16:09:38,04:09:38 PM,"Bitcoin Up or Down - March 11, 4:05PM-4:10PM ET",Up,real,0.72,0.2,27.0,-14.04,sl,
2026-03-11 16:14:12,04:14:12 PM,"Bitcoin Up or Down - March 11, 4:10PM-4:15PM ET",Down,real,0.74,0.94,27.0,5.4,tp,
2026-03-11 16:19:08,04:19:08 PM,"Bitcoin Up or Down - March 11, 4:15PM-4:20PM ET",Up,real,0.81,0.94,24.0,3.12,tp,
2026-03-11 16:24:09,04:24:09 PM,"Bitcoin Up or Down - March 11, 4:20PM-4:25PM ET",Down,real,0.84,0.94,23.0,2.3,tp,
2026-03-11 16:29:55,04:29:55 PM,"Bitcoin Up or Down - March 11, 4:25PM-4:30PM ET",Down,real,0.77,1.0,25.0,5.75,resolved-win,
2026-03-11 16:34:32,04:34:32 PM,"Bitcoin Up or Down - March 11, 4:30PM-4:35PM ET",Up,real,0.83,0.94,24.0,2.64,tp,
2026-03-11 16:39:15,04:39:15 PM,"Bitcoin Up or Down - March 11, 4:35PM-4:40PM ET",Down,phantom-choppy,0.92,0.94,21,0.42,phantom-win,choppy
2026-03-11 16:44:19,04:44:19 PM,"Bitcoin Up or Down - March 11, 4:40PM-4:45PM ET",Up,real,0.77,0.94,25.0,4.25,tp,
2026-03-11 16:49:06,04:49:06 PM,"Bitcoin Up or Down - March 11, 4:45PM-4:50PM ET",Down,phantom-choppy,0.73,0.44,27,-7.83,phantom-lose,choppy
2026-03-11 16:54:22,04:54:22 PM,"Bitcoin Up or Down - March 11, 4:50PM-4:55PM ET",Down,phantom-choppy,0.97,0.33,20,-12.8,phantom-lose,choppy
2026-03-11 16:58:10,04:58:10 PM,"Bitcoin Up or Down - March 11, 4:55PM-5:00PM ET",Down,real,0.76,0.44,26.0,-8.32,sl,
2026-03-11 17:02:46,05:02:46 PM,"Bitcoin Up or Down - March 11, 5:00PM-5:05PM ET",Up,real,0.73,0.45,27.0,-7.56,sl,
2026-03-11 17:09:12,05:09:12 PM,"Bitcoin Up or Down - March 11, 5:05PM-5:10PM ET",Down,real,0.8,0.94,25.0,3.5,tp,
2026-03-11 17:12:21,05:12:21 PM,"Bitcoin Up or Down - March 11, 5:10PM-5:15PM ET",Down,real,0.85,0.94,23.0,2.07,tp,
2026-03-11 17:19:55,05:19:55 PM,"Bitcoin Up or Down - March 11, 5:15PM-5:20PM ET",Up,real,0.71,1.0,28.0,8.12,resolved-win,
2026-03-11 17:24:47,05:24:47 PM,"Bitcoin Up or Down - March 11, 5:20PM-5:25PM ET",Up,real,0.75,0.96,26.0,5.46,tp,
2026-03-11 17:29:38,05:29:38 PM,"Bitcoin Up or Down - March 11, 5:25PM-5:30PM ET",Down,real,0.75,0.95,26.0,5.2,tp,
2026-03-11 17:33:54,05:33:54 PM,"Bitcoin Up or Down - March 11, 5:30PM-5:35PM ET",Up,real,0.9,0.94,22.0,0.88,tp,
2026-03-11 17:39:30,05:39:30 PM,"Bitcoin Up or Down - March 11, 5:35PM-5:40PM ET",Up,real,0.71,0.43,28.0,-7.84,sl,
2026-03-11 17:44:23,05:44:23 PM,"Bitcoin Up or Down - March 11, 5:40PM-5:45PM ET",Up,real,0.75,0.39,26.0,-9.36,sl,
2026-03-11 17:48:02,05:48:02 PM,"Bitcoin Up or Down - March 11, 5:45PM-5:50PM ET",Up,real,0.75,0.94,26.0,4.94,tp,
2026-03-11 17:53:22,05:53:22 PM,"Bitcoin Up or Down - March 11, 5:50PM-5:55PM ET",Up,real,0.87,0.94,22.0,1.54,tp,
2026-03-11 17:58:13,05:58:13 PM,"Bitcoin Up or Down - March 11, 5:55PM-6:00PM ET",Down,real,0.74,0.45,27.0,-7.83,sl,
2026-03-11 18:04:34,06:04:34 PM,"Bitcoin Up or Down - March 11, 6:00PM-6:05PM ET",Down,phantom-choppy,0.81,0.42,24,-9.36,phantom-lose,choppy
2026-03-11 18:09:55,06:09:55 PM,"Bitcoin Up or Down - March 11, 6:05PM-6:10PM ET",Down,real,0.71,1.0,28.0,8.12,resolved-win,
2026-03-11 18:14:00,06:14:00 PM,"Bitcoin Up or Down - March 11, 6:10PM-6:15PM ET",Up,phantom-choppy,0.99,0.99,20,0,phantom-win,choppy
2026-03-11 18:19:55,06:19:55 PM,"Bitcoin Up or Down - March 11, 6:15PM-6:20PM ET",Down,real,0.71,1.0,28.0,8.12,resolved-win,
2026-03-11 18:22:37,06:22:37 PM,"Bitcoin Up or Down - March 11, 6:20PM-6:25PM ET",Down,real,0.91,0.94,21.0,0.63,tp,
2026-03-11 18:28:15,06:28:15 PM,"Bitcoin Up or Down - March 11, 6:25PM-6:30PM ET",Up,real,0.71,0.45,28.0,-7.28,sl,
2026-03-11 18:34:50,06:34:50 PM,"Bitcoin Up or Down - March 11, 6:30PM-6:35PM ET",Down,real,0.71,0.95,28.0,6.72,tp,
2026-03-11 18:37:44,06:37:44 PM,"Bitcoin Up or Down - March 11, 6:35PM-6:40PM ET",Down,real,0.75,0.44,26.0,-8.06,sl,
2026-03-11 18:44:45,06:44:45 PM,"Bitcoin Up or Down - March 11, 6:40PM-6:45PM ET",Up,phantom-choppy,0.83,0.94,24,2.64,phantom-win,choppy
2026-03-11 18:48:23,06:48:23 PM,"Bitcoin Up or Down - March 11, 6:45PM-6:50PM ET",Up,real,0.72,0.94,27.0,5.94,tp,
2026-03-11 18:54:02,06:54:02 PM,"Bitcoin Up or Down - March 11, 6:50PM-6:55PM ET",Up,real,0.78,0.44,25.0,-8.5,sl,
2026-03-11 18:59:00,06:59:00 PM,"Bitcoin Up or Down - March 11, 6:55PM-7:00PM ET",Down,phantom-choppy,0.78,0.24,25,-13.5,phantom-lose,choppy
2026-03-11 19:03:42,07:03:42 PM,"Bitcoin Up or Down - March 11, 7:00PM-7:05PM ET",Up,real,0.71,0.98,28.0,7.56,tp,
2026-03-11 19:08:50,07:08:50 PM,"Bitcoin Up or Down - March 11, 7:05PM-7:10PM ET",Up,real,0.73,0.45,27.0,-7.56,sl,
2026-03-11 19:14:16,07:14:16 PM,"Bitcoin Up or Down - March 11, 7:10PM-7:15PM ET",Up,real,0.76,0.94,26.0,4.68,tp,
2026-03-11 19:19:29,07:19:29 PM,"Bitcoin Up or Down - March 11, 7:15PM-7:20PM ET",Down,real,0.72,0.94,27.0,5.94,tp,
2026-03-11 19:24:55,07:24:55 PM,"Bitcoin Up or Down - March 11, 7:20PM-7:25PM ET",Up,phantom-choppy,0.76,1.0,26,6.24,phantom-win,choppy
2026-03-11 19:29:44,07:29:44 PM,"Bitcoin Up or Down - March 11, 7:25PM-7:30PM ET",Up,phantom-choppy,0.87,0.94,22,1.54,phantom-win,choppy
2026-03-11 19:34:14,07:34:14 PM,"Bitcoin Up or Down - March 11, 7:30PM-7:35PM ET",Down,real,0.74,0.94,27.0,5.4,tp,
2026-03-11 19:39:00,07:39:00 PM,"Bitcoin Up or Down - March 11, 7:35PM-7:40PM ET",Up,phantom-no_leader,0.97,0.97,20,0,phantom-win,no_leader
2026-03-11 19:44:00,07:44:00 PM,"Bitcoin Up or Down - March 11, 7:40PM-7:45PM ET",Up,phantom-choppy,0.82,0.45,24,-8.88,phantom-lose,choppy
2026-03-11 19:48:16,07:48:16 PM,"Bitcoin Up or Down - March 11, 7:45PM-7:50PM ET",Down,real,0.72,0.94,27.0,5.94,tp,
2026-03-11 19:54:00,07:54:00 PM,"Bitcoin Up or Down - March 11, 7:50PM-7:55PM ET",Up,phantom-choppy,0.71,0.39,28,-8.96,phantom-lose,choppy
2026-03-11 19:59:55,07:59:55 PM,"Bitcoin Up or Down - March 11, 7:55PM-8:00PM ET",Down,real,0.72,1.0,27.0,7.56,resolved-win,
2026-03-11 20:04:40,08:04:40 PM,"Bitcoin Up or Down - March 11, 8:00PM-8:05PM ET",Up,phantom-choppy,0.7,0.42,28,-7.84,phantom-lose,choppy
2026-03-11 20:09:33,08:09:33 PM,"Bitcoin Up or Down - March 11, 8:05PM-8:10PM ET",Up,phantom-choppy,0.7,0.97,28,7.56,phantom-win,choppy
2026-03-11 20:14:00,08:14:00 PM,"Bitcoin Up or Down - March 11, 8:10PM-8:15PM ET",Down,phantom-choppy,0.65,0.35,30,-9.0,phantom-lose,choppy
2026-03-11 20:19:00,08:19:00 PM,"Bitcoin Up or Down - March 11, 8:15PM-8:20PM ET",Up,phantom-choppy,0.83,0.22,24,-14.64,phantom-lose,choppy
2026-03-11 20:24:00,08:24:00 PM,"Bitcoin Up or Down - March 11, 8:20PM-8:25PM ET",Up,phantom-choppy,0.94,0.94,21,0,phantom-win,choppy
2026-03-11 20:29:45,08:29:45 PM,"Bitcoin Up or Down - March 11, 8:25PM-8:30PM ET",Down,real,0.73,0.95,27.0,5.94,tp,
2026-03-11 20:34:05,08:34:05 PM,"Bitcoin Up or Down - March 11, 8:30PM-8:35PM ET",Down,real,0.7,0.94,28.0,6.72,tp,
2026-03-11 20:39:41,08:39:41 PM,"Bitcoin Up or Down - March 11, 8:35PM-8:40PM ET",Up,phantom-choppy,0.86,0.94,23,1.84,phantom-win,choppy
2026-03-11 20:43:43,08:43:43 PM,"Bitcoin Up or Down - March 11, 8:40PM-8:45PM ET",Down,real,0.72,0.94,27.0,5.94,tp,
2026-03-11 20:49:48,08:49:48 PM,"Bitcoin Up or Down - March 11, 8:45PM-8:50PM ET",Down,real,0.78,0.32,25.0,-11.5,sl,
2026-03-11 20:54:11,08:54:11 PM,"Bitcoin Up or Down - March 11, 8:50PM-8:55PM ET",Down,real,0.72,0.94,27.0,5.94,tp,
2026-03-11 20:59:54,08:59:54 PM,"Bitcoin Up or Down - March 11, 8:55PM-9:00PM ET",Down,phantom-choppy,0.74,0.94,27,5.4,phantom-win,choppy
2026-03-11 21:02:42,09:02:42 PM,"Bitcoin Up or Down - March 11, 9:00PM-9:05PM ET",Down,real,0.77,0.95,25.0,4.5,tp,
2026-03-11 21:08:14,09:08:14 PM,"Bitcoin Up or Down - March 11, 9:05PM-9:10PM ET",Down,real,0.72,0.45,27.0,-7.29,sl,
2026-03-11 21:13:59,09:13:59 PM,"Bitcoin Up or Down - March 11, 9:10PM-9:15PM ET",Down,real,0.78,0.94,25.0,4.0,tp,
2026-03-11 21:19:10,09:19:10 PM,"Bitcoin Up or Down - March 11, 9:15PM-9:20PM ET",Up,phantom-choppy,0.93,0.94,21,0.21,phantom-win,choppy
2026-03-11 21:24:44,09:24:44 PM,"Bitcoin Up or Down - March 11, 9:20PM-9:25PM ET",Down,real,0.83,0.94,24.0,2.64,tp,
2026-03-11 21:29:49,09:29:49 PM,"Bitcoin Up or Down - March 11, 9:25PM-9:30PM ET",Up,real,0.73,0.39,27.0,-9.18,sl,
2026-03-11 21:33:01,09:33:01 PM,"Bitcoin Up or Down - March 11, 9:30PM-9:35PM ET",Up,real,0.73,0.41,27.0,-8.64,sl,
2026-03-11 21:39:31,09:39:31 PM,"Bitcoin Up or Down - March 11, 9:35PM-9:40PM ET",Up,real,0.79,0.94,25.0,3.75,tp,
2026-03-11 21:42:14,09:42:14 PM,"Bitcoin Up or Down - March 11, 9:40PM-9:45PM ET",Up,real,0.89,0.94,22.0,1.1,tp,
2026-03-11 21:49:00,09:49:00 PM,"Bitcoin Up or Down - March 11, 9:45PM-9:50PM ET",Down,phantom-choppy,0.97,0.98,20,0.2,phantom-win,choppy
2026-03-11 21:54:29,09:54:29 PM,"Bitcoin Up or Down - March 11, 9:50PM-9:55PM ET",Down,phantom-choppy,0.95,0.94,21,-0.21,phantom-win,choppy
